Reusing configuration cache.
> Task :trouter-core:preBuild UP-TO-DATE
> Task :feature-demo:preBuild UP-TO-DATE
> Task :trouter-annotation:checkKotlinGradlePluginConfigurationErrors SKIPPED
> Task :feature-demo:generateDebugAssets UP-TO-DATE
> Task :feature-demo:preDebugBuild UP-TO-DATE
> Task :trouter-core:prepareLintJarForPublish UP-TO-DATE
> Task :trouter-annotation:processResources NO-SOURCE
> Task :trouter-core:generateDebugAssets UP-TO-DATE
> Task :trouter-core:preDebugBuild UP-TO-DATE
> Task :feature-demo:prepareLintJarForPublish UP-TO-DATE
> Task :trouter-processor:checkKotlinGradlePluginConfigurationErrors SKIPPED
> Task :trouter-processor:processResources UP-TO-DATE
> Task :feature-demo:generateDebugResources UP-TO-DATE
> Task :trouter-core:generateDebugResources UP-TO-DATE
> Task :trouter-core:extractDeepLinksForAarDebug UP-TO-DATE
> Task :trouter-core:javaPreCompileDebug UP-TO-DATE
> Task :trouter-core:processDebugNavigationResources UP-TO-DATE
> Task :trouter-core:writeDebugAarMetadata UP-TO-DATE
> Task :trouter-core:prepareDebugArtProfile UP-TO-DATE
> Task :feature-demo:processDebugNavigationResources UP-TO-DATE
> Task :feature-demo:extractDeepLinksForAarDebug UP-TO-DATE
> Task :feature-demo:prepareDebugArtProfile UP-TO-DATE
> Task :trouter-core:mergeDebugAssets UP-TO-DATE
> Task :feature-demo:mergeDebugAssets UP-TO-DATE
> Task :feature-demo:writeDebugAarMetadata UP-TO-DATE
> Task :trouter-core:packageDebugResources UP-TO-DATE
> Task :trouter-core:processDebugManifest UP-TO-DATE
> Task :feature-demo:packageDebugResources UP-TO-DATE
> Task :feature-about:preBuild UP-TO-DATE
> Task :feature-about:generateDebugAssets UP-TO-DATE
> Task :feature-about:preDebugBuild UP-TO-DATE
> Task :trouter-core:checkDebugAarMetadata UP-TO-DATE
> Task :trouter-core:parseDebugLocalResources UP-TO-DATE
> Task :feature-about:prepareLintJarForPublish UP-TO-DATE
> Task :feature-demo:processDebugManifest UP-TO-DATE
> Task :feature-demo:parseDebugLocalResources UP-TO-DATE
> Task :feature-about:generateDebugResources UP-TO-DATE
> Task :feature-about:processDebugNavigationResources UP-TO-DATE
> Task :feature-about:extractDeepLinksForAarDebug UP-TO-DATE
> Task :trouter-annotation:compileKotlin UP-TO-DATE
> Task :feature-about:mergeDebugAssets UP-TO-DATE
> Task :feature-about:prepareDebugArtProfile UP-TO-DATE
> Task :feature-about:writeDebugAarMetadata UP-TO-DATE
> Task :trouter-core:generateDebugRFile UP-TO-DATE
> Task :trouter-annotation:compileJava NO-SOURCE
> Task :feature-about:processDebugManifest UP-TO-DATE
> Task :feature-about:extractDeepLinksDebug UP-TO-DATE
> Task :feature-demo:extractDeepLinksDebug UP-TO-DATE
> Task :feature-demo:checkDebugAarMetadata UP-TO-DATE
> Task :feature-about:checkDebugAarMetadata UP-TO-DATE
> Task :app:preBuild UP-TO-DATE
> Task :trouter-annotation:classes UP-TO-DATE
> Task :trouter-core:extractDeepLinksDebug UP-TO-DATE
> Task :feature-demo:generateDebugRFile UP-TO-DATE
> Task :feature-about:packageDebugResources UP-TO-DATE
> Task :app:preDebugBuild UP-TO-DATE
> Task :feature-about:mapDebugSourceSetPaths UP-TO-DATE
> Task :app:generateDebugResources UP-TO-DATE
> Task :app:mapDebugSourceSetPaths UP-TO-DATE
> Task :trouter-annotation:jar UP-TO-DATE
> Task :feature-about:parseDebugLocalResources UP-TO-DATE
> Task :app:createDebugCompatibleScreenManifests UP-TO-DATE
> Task :app:extractDeepLinksDebug UP-TO-DATE
> Task :feature-about:compileDebugLibraryResources UP-TO-DATE
> Task :feature-demo:mapDebugSourceSetPaths UP-TO-DATE
> Task :app:packageDebugResources UP-TO-DATE
> Task :feature-demo:compileDebugLibraryResources UP-TO-DATE
> Task :app:preDebugAndroidTestBuild SKIPPED
> Task :feature-about:generateDebugRFile UP-TO-DATE
> Task :feature-demo:writeDebugLintModelMetadata UP-TO-DATE
> Task :feature-about:writeDebugLintModelMetadata UP-TO-DATE
> Task :trouter-core:mapDebugSourceSetPaths UP-TO-DATE
> Task :trouter-core:writeDebugLintModelMetadata UP-TO-DATE
> Task :app:extractProguardFiles UP-TO-DATE
> Task :trouter-processor:compileKotlin UP-TO-DATE
> Task :trouter-core:extractProguardFiles UP-TO-DATE
> Task :feature-about:extractProguardFiles UP-TO-DATE
> Task :app:preDebugUnitTestBuild UP-TO-DATE
> Task :feature-demo:extractProguardFiles UP-TO-DATE
> Task :trouter-lint:checkKotlinGradlePluginConfigurationErrors SKIPPED
> Task :trouter-core:compileDebugLibraryResources UP-TO-DATE
> Task :feature-about:preDebugUnitTestBuild UP-TO-DATE
> Task :feature-demo:preDebugAndroidTestBuild UP-TO-DATE
> Task :feature-demo:preDebugUnitTestBuild UP-TO-DATE
> Task :trouter-processor:compileJava NO-SOURCE
> Task :trouter-core:preDebugAndroidTestBuild UP-TO-DATE
> Task :trouter-lint:processResources UP-TO-DATE
> Task :feature-about:preDebugAndroidTestBuild UP-TO-DATE
