PASS | com.demo.trouter.MainRouterTest | OK (2 tests)
PASS | com.demo.trouter.TRouterApiContractTest | OK (6 tests)
PASS | com.demo.trouter.TRouterAsyncInterceptorTest | OK (12 tests)
PASS | com.demo.trouter.TRouterCoreHardeningTest | OK (3 tests)
PASS | com.demo.trouter.TRouterDeeplinkAndAliasTest | OK (8 tests)
PASS | com.demo.trouter.TRouterDynamicContractTest | OK (4 tests)
PASS | com.demo.trouter.TRouterHotUpdateTest | OK (4 tests)
PASS | com.demo.trouter.TRouterInterceptorContractTest | OK (6 tests)
PASS | com.demo.trouter.TRouterInterceptorRuntimeTest | OK (5 tests)
PASS | com.demo.trouter.TRouterInterceptorUiTest | OK (2 tests)
PASS | com.demo.trouter.TRouterMultiProcessContractTest | OK (6 tests)
PASS | com.demo.trouter.TRouterOnionChainTest | OK (6 tests)
PASS | com.demo.trouter.TRouterParamPassingTest | OK (3 tests)
PASS | com.demo.trouter.TRouterPojoCrossProcessTest | OK (4 tests)
PASS | com.demo.trouter.TRouterRemoteContractTest | OK (5 tests)
PASS | com.demo.trouter.TRouterRemoteProxyTest | OK (1 test)
PASS | com.demo.trouter.TRouterRemoteServiceTest | OK (3 tests)
PASS | com.demo.trouter.TRouterResultAndArgsTest | OK (4 tests)
PASS | com.demo.trouter.TRouterRouteMapAndServiceTest | OK (4 tests)
PASS | com.demo.trouter.TRouterTargetInterceptorTest | OK (4 tests)
PASS | com.demo.trouter.TRouterTypedApiCrossProcessTest | OK (6 tests)
PASS | com.demo.trouter.backtest.BacktestEnvelopeTest | OK (4 tests)
PASS | com.demo.trouter.backtest.BacktestOperationUiTest | OK (5 tests)
